"filename", "language", "Properties", "Batch", "Python", "PowerShell", "Markdown", "PostCSS", "JavaScript", "XML", "C", "Shell Script", "Django HTML", "reStructuredText", "comment", "blank", "total"
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cache.py", "Python", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 46, 288
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 164
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 36, 215
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 141, 1010
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\main.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 15, 71
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 88
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 50, 293
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 56, 251
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\req_command.py", "Python", 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 54, 454
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\spinners.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 158
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 113
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\pip\_internal\commands\cache.py", "Python", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 43, 217
